participant,edad,genero,trabajo,tiempchile,hijo,nivesthai,typeq1,nivestch,typeq2,necestsp,typeq3,answerpr,intro,dacuer1,typeq5,ptrabaj,typeq6,phogar,typeq7,ptlibre,typeq8,pamigos,typeq9,pfamilia,typeq10,pcompras,typeq11,dacuer2,typeq12,pasimple,dacuer3,typeq13,pashab,dacuer4,typeq14,futur,typeq15,dacuer5,typeq16,prsubj,typeq17,dacuer6,typeq18,imperativo,dacuer7,typeq19,vapod,typeq20,vconsulmed,typeq21,vcompras,typeq22,vtramites,typeq23,ventrtrab,typeq24,vviajar,typeq25,vdeporte,typeq26,vbaile,typeq19,volla,typeq27,vmusica,typeq28,vfiestas,typeq29,vcultura,typeq30,centrarclase,enfoqueclase,mintsp,minthait
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,2,pract,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
1,36,0,0,2,1,4,mcom,1,bainc,0,si,4,nomyedyorydefam,0,si,1,con difi,1,con difi ,2,no,1,con difi,2,no,2,no,0,si ,1,1,nolose ,2,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,1,avec,1,avec,3,amen,1,avec,1,avec,2,frec,1,avec,0,nun,3,amen,1,avec,2,frec,1,avec,5,todo,14,43
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
2,32,0,0,2,4,3,minc,0,nca,0,si,4,nomyedyorydefam,0,si,0,si,0,si,0,si,0,si,0,si,0,si,0,si ,3,0,si,3,1,nolose,2,pract,0,si,,,0,si,3,1,nolose ,4,siemp,2,frec,4,siemp,1,avec,0,nun,3,amen ,0,nun,0,nun,3,amen,0,nun,0,nun,3,amen,4,escrfor,36,46
